timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601552543319,15,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,22667,360,1,1,null,0,8,3
1601552543327,15,вход,200,,clearGuestbookHistory 1-1,text,true,,22667,360,1,1,http://localhost:8080/,15,0,3
1601552543347,226,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,90025,678,1,1,null,0,1,0
1601552543347,21,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,21,0,0
1601552543369,205,гостевая,200,,clearGuestbookHistory 1-1,text,true,,85913,297,1,1,http://localhost:8080/service/guestbook,181,0,0
1601552543575,377,show Book,200,OK,clearGuestbookHistory 1-1,text,true,,97757,0,1,1,null,296,0,290
1601552543969,31,Debug Sampler,200,OK,clearGuestbookHistory 1-1,text,true,,226243,0,1,1,null,0,0,0
1601552544014,22,delete_book(jdbc),200,OK,clearGuestbookHistory 1-1,text,true,,12,0,1,1,null,22,0,0
1601552544036,14,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,1,0
1601552544037,7,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,7,0,0
1601552544044,7,гостевая,200,,clearGuestbookHistory 1-1,text,true,,272,297,1,1,http://localhost:8080/service/guestbook,7,0,0
1601552544053,10,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,22667,360,1,1,null,0,1,0
1601552544054,10,вход,200,,clearGuestbookHistory 1-1,text,true,,22667,360,1,1,http://localhost:8080/,9,0,0
1601552544064,8,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,1,0
1601552544064,6,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,6,0,0
1601552544071,2,гостевая,200,,clearGuestbookHistory 1-1,text,true,,272,297,1,1,http://localhost:8080/service/guestbook,2,0,0
1601552544073,1,show Book,200,OK,clearGuestbookHistory 1-1,text,true,,15,0,1,1,null,1,0,0
1601552544082,0,Debug Sampler,200,OK,clearGuestbookHistory 1-1,text,true,,593,0,1,1,null,0,0,0
1601552544082,2,delete_book(jdbc),200,OK,clearGuestbookHistory 1-1,text,true,,9,0,1,1,null,2,0,0
1601552544084,11,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,0,0
1601552544084,8,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,8,0,0
1601552544092,3,гостевая,200,,clearGuestbookHistory 1-1,text,true,,272,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601552544096,11,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,22667,360,1,1,null,0,20002,0
1601552564097,11,вход,200,,clearGuestbookHistory 1-1,text,true,,22667,360,1,1,http://localhost:8080/,11,0,0
1601552564109,12,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,0,0
1601552564109,9,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,9,0,0
1601552564118,3,гостевая,200,,clearGuestbookHistory 1-1,text,true,,272,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601552564121,1,show Book,200,OK,clearGuestbookHistory 1-1,text,true,,15,0,1,1,null,1,0,0
1601552564122,0,Debug Sampler,200,OK,clearGuestbookHistory 1-1,text,true,,569,0,1,1,null,0,0,0
1601552564123,0,delete_book(jdbc),200,OK,clearGuestbookHistory 1-1,text,true,,9,0,1,1,null,0,0,0
1601552564123,9,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,1,0
1601552564124,6,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,6,0,0
1601552564130,3,гостевая,200,,clearGuestbookHistory 1-1,text,true,,272,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601552564134,11,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,22667,360,1,1,null,0,20002,0
1601552584136,11,вход,200,,clearGuestbookHistory 1-1,text,true,,22667,360,1,1,http://localhost:8080/,11,0,0
1601552584149,11,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,1,0
1601552584149,8,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,8,0,0
1601552584158,3,гостевая,200,,clearGuestbookHistory 1-1,text,true,,272,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601552584162,1,show Book,200,OK,clearGuestbookHistory 1-1,text,true,,15,0,1,1,null,1,0,0
1601552584163,0,Debug Sampler,200,OK,clearGuestbookHistory 1-1,text,true,,582,0,1,1,null,0,0,0
1601552584164,1,delete_book(jdbc),200,OK,clearGuestbookHistory 1-1,text,true,,9,0,1,1,null,1,0,0
1601552584165,9,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,1,0
1601552584165,7,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,7,0,0
1601552584173,2,гостевая,200,,clearGuestbookHistory 1-1,text,true,,272,297,1,1,http://localhost:8080/service/guestbook,2,0,0
1601552584177,16,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,22667,360,1,1,null,0,20001,3
1601552604178,16,вход,200,,clearGuestbookHistory 1-1,text,true,,22667,360,1,1,http://localhost:8080/,15,0,3
1601552604194,13,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,0,0
1601552604194,10,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,10,0,0
1601552604204,3,гостевая,200,,clearGuestbookHistory 1-1,text,true,,272,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601552604207,1,show Book,200,OK,clearGuestbookHistory 1-1,text,true,,15,0,1,1,null,1,0,0
1601552604208,0,Debug Sampler,200,OK,clearGuestbookHistory 1-1,text,true,,561,0,1,1,null,0,0,0
1601552604209,0,delete_book(jdbc),200,OK,clearGuestbookHistory 1-1,text,true,,9,0,1,1,null,0,0,0
1601552604210,10,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,0,0
1601552604210,7,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,7,0,0
1601552604217,3,гостевая,200,,clearGuestbookHistory 1-1,text,true,,272,297,1,1,http://localhost:8080/service/guestbook,3,0,0
1601552604221,9,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,22667,360,1,1,null,0,20002,0
1601552624223,9,вход,200,,clearGuestbookHistory 1-1,text,true,,22667,360,1,1,http://localhost:8080/,9,0,0
1601552624233,28,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,1,0
1601552624233,8,гостевая,200,,clearGuestbookHistory 1-1,text,true,,4112,381,1,1,http://localhost:8080/guestbook.html,8,0,0
1601552624242,20,гостевая,200,,clearGuestbookHistory 1-1,text,true,,272,297,1,1,http://localhost:8080/service/guestbook,20,0,0
1601552624262,1,show Book,200,OK,clearGuestbookHistory 1-1,text,true,,15,0,1,1,null,1,0,0
1601552624263,1,Debug Sampler,200,OK,clearGuestbookHistory 1-1,text,true,,593,0,1,1,null,0,0,0
1601552624264,1,delete_book(jdbc),200,OK,clearGuestbookHistory 1-1,text,true,,9,0,1,1,null,1,0,0
1601552624265,11,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",clearGuestbookHistory 1-1,,true,,4384,678,1,1,null,0,0,0
