timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601549358904,22,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,4,9
1601549358908,22,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,21,0,9
1601549358947,11,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,2,0
1601549358948,11,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,11,0,0
1601549358960,18,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,6870,690,1,1,null,0,2,0
1601549358961,12,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,12,0,0
1601549358974,6,гостевая,200,,sendComment 1-1,text,true,,2758,297,1,1,http://localhost:8080/service/guestbook,6,0,0
1601549359003,14,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3090,848,1,1,null,0,2,0
1601549359004,9,комментарий,200,,sendComment 1-1,text,true,,274,551,1,1,http://localhost:8080/service/guestbook?user=Райффайзенбанк&text=Спасибо!,8,0,0
1601549359014,5,комментарий,200,,sendComment 1-1,text,true,,2816,297,1,1,http://localhost:8080/service/guestbook,5,0,0
1601549359051,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,469,0,1,1,null,0,0,0
1601549359054,20,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,2,0
1601549359055,20,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,20,0,0
1601549359076,9,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
1601549359076,9,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,9,0,0
1601549359086,19,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,6928,690,1,1,null,0,2,0
1601549359087,11,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,11,0,0
1601549359099,8,гостевая,200,,sendComment 1-1,text,true,,2816,297,1,1,http://localhost:8080/service/guestbook,8,0,0
1601549359108,11,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3207,1025,1,1,null,0,0,0
1601549359108,7,комментарий,200,,sendComment 1-1,text,true,,274,728,1,1,"http://localhost:8080/service/guestbook?user=Райффайзенбанк&text=Рекомендую,%20это%20лучшая%20компания%20на%20свете",7,0,0
1601549359115,4,комментарий,200,,sendComment 1-1,text,true,,2933,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549359120,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,501,0,1,1,null,0,0,0
1601549359121,7,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,503,0
1601549359623,7,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,7,0,0
1601549359631,10,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,0,0
1601549359631,10,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,10,0,0
1601549359642,17,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7045,690,1,1,null,0,2,0
1601549359642,13,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,13,0,0
1601549359656,4,гостевая,200,,sendComment 1-1,text,true,,2933,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549359661,21,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3258,827,1,1,null,0,1,0
1601549359661,16,комментарий,200,,sendComment 1-1,text,true,,274,530,1,1,http://localhost:8080/service/guestbook?user=МТС&text=Отличные%20ребята.,16,0,0
1601549359678,5,комментарий,200,,sendComment 1-1,text,true,,2984,297,1,1,http://localhost:8080/service/guestbook,5,0,0
1601549359683,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,444,0,1,1,null,0,0,0
1601549359685,10,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,501,0
1601549360186,10,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,9,0,0
1601549360197,9,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,0,0
1601549360197,9,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,9,0,0
1601549360207,12,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7096,690,1,1,null,0,0,0
1601549360207,8,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,8,0,0
1601549360215,4,гостевая,200,,sendComment 1-1,text,true,,2984,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549360219,8,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3333,899,1,1,null,0,2,0
1601549360220,4,комментарий,200,,sendComment 1-1,text,true,,274,602,1,1,http://localhost:8080/service/guestbook?user=МТС&text=Благодарю%20за%20отличную%20работу!,4,0,0
1601549360224,4,комментарий,200,,sendComment 1-1,text,true,,3059,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549360229,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,457,0,1,1,null,0,0,0
1601549360231,8,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,502,0
1601549360733,8,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,7,0,0
1601549360742,8,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
1601549360742,8,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,8,0,0
1601549360751,12,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7171,690,1,1,null,0,0,0
1601549360751,8,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,8,0,0
